0,0
0,1.73205
-1.5,-0.866025
1.5,-0.866025
0,3.4641
-1.5,0.866025
-3,-1.73205
0,-1.73205
3,-1.73205
1.5,0.866025
0,5.19615
-3,-3.58979e-09
-1.5,2.59808
-4.5,-2.59808
-1.5,-2.59808
1.5,-2.59808
4.5,-2.59808
3,-3.58979e-09
1.5,2.59808
0,6.9282
-4.5,-0.866025
-3,1.73205
-1.5,4.33013
-6,-3.4641
-3,-3.4641
0,-3.4641
3,-3.4641
6,-3.4641
4.5,-0.866025
3,1.73205
1.5,4.33013
0,8.66025
-6,-1.73205
-4.5,0.866025
-3,3.4641
-1.5,6.06218
-7.5,-4.33013
-4.5,-4.33013
-1.5,-4.33013
1.5,-4.33013
4.5,-4.33013
7.5,-4.33013
6,-1.73205
4.5,0.866025
3,3.4641
1.5,6.06218
0,10.3923
-7.5,-2.59808
-6,-7.17959e-09
-4.5,2.59808
-3,5.19615
-1.5,7.79423
-9,-5.19615
-6,-5.19615
-3,-5.19615
0,-5.19615
3,-5.19615
6,-5.19615
9,-5.19615
7.5,-2.59808
6,-7.17959e-09
4.5,2.59808
3,5.19615
1.5,7.79423
0,12.1244
-9,-3.4641
-7.5,-0.866025
-6,1.73205
-4.5,4.33013
-3,6.9282
-1.5,9.52628
-10.5,-6.06218
-7.5,-6.06218
-4.5,-6.06218
-1.5,-6.06218
1.5,-6.06218
4.5,-6.06218
7.5,-6.06218
10.5,-6.06218
9,-3.4641
7.5,-0.866025
6,1.73205
4.5,4.33013
3,6.9282
1.5,9.52628
0,13.8564
-10.5,-4.33013
-9,-1.73205
-7.5,0.866025
-6,3.4641
-4.5,6.06218
-3,8.66025
-1.5,11.2583
-12,-6.9282
-9,-6.9282
-6,-6.9282
-3,-6.9282
0,-6.9282
3,-6.9282
6,-6.9282
9,-6.9282
12,-6.9282
10.5,-4.33013
9,-1.73205
7.5,0.866025
6,3.4641
4.5,6.06218
3,8.66025
1.5,11.2583
0,15.5885
-12,-5.19615
-10.5,-2.59808
-9,-1.07694e-08
-7.5,2.59808
-6,5.19615
-4.5,7.79423
-3,10.3923
-1.5,12.9904
-13.5,-7.79423
-10.5,-7.79423
-7.5,-7.79423
-4.5,-7.79423
-1.5,-7.79423
1.5,-7.79423
4.5,-7.79423
7.5,-7.79423
10.5,-7.79423
13.5,-7.79423
12,-5.19615
10.5,-2.59808
9,-1.07694e-08
7.5,2.59808
6,5.19615
4.5,7.79423
3,10.3923
1.5,12.9904
0,17.3205
-13.5,-6.06218
-12,-3.4641
